build,family,schema,initialized,readyToInputMs,inputToCandidateMs,commitMs,wasmReadyBytes,wasmPeakBytes,steadyStateBytes,loadedSharedAssetBytes,requestedFamilyBytes,uniqueEncodedResourceBytes,jsHeapUsedBytes,storageUsageBytes,loadedAssets,consoleErrors
tracked-dist,luna-core,luna_pinyin,true,4289,97,10,167772160,167772160,167772160,33132746,33132746,36593791,6020916,15881,default.custom.yaml pinyin.yaml key_bindings.yaml punctuation.yaml symbols.yaml essay.txt luna_pinyin.schema.yaml luna_pinyin.dict.yaml luna_pinyin.table.bin luna_pinyin.reverse.bin luna_pinyin.prism.bin stroke.schema.yaml stroke.dict.yaml stroke.table.bin stroke.reverse.bin stroke.prism.bin opencc/t2hk.json opencc/t2s.json opencc/t2tw.json opencc/HKVariants.ocd2 opencc/TSCharacters.ocd2 opencc/TSPhrases.ocd2 opencc/TWVariants.ocd2,
public-demo-dist,luna-core,luna_pinyin,true,1270,67,114,167772160,167772160,167772160,33132746,33132746,36604697,4749296,33180433,default.custom.yaml pinyin.yaml key_bindings.yaml punctuation.yaml symbols.yaml essay.txt luna_pinyin.schema.yaml luna_pinyin.dict.yaml luna_pinyin.table.bin luna_pinyin.reverse.bin luna_pinyin.prism.bin stroke.schema.yaml stroke.dict.yaml stroke.table.bin stroke.reverse.bin stroke.prism.bin opencc/t2hk.json opencc/t2s.json opencc/t2tw.json opencc/HKVariants.ocd2 opencc/TSCharacters.ocd2 opencc/TSPhrases.ocd2 opencc/TWVariants.ocd2,
tracked-dist,jyutping-core,jyut6ping3_mobile,true,5777,75,114,936509440,936509440,936509440,4630356,4630356,11575930,5049584,23926,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin,
public-demo-dist,jyutping-core,jyut6ping3_mobile,true,5763,83,108,936509440,936509440,936509440,4630356,4630356,11586836,5042220,8160638,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin,
tracked-dist,jyutping-scolar,jyut6ping3_mobile,true,5961,369,113,936509440,936509440,936509440,23785977,23785977,30731551,5255560,23930,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin jyut6ping3_scolar.schema.yaml jyut6ping3_scolar.dict.yaml jyut6ping3_scolar.table.bin jyut6ping3_scolar.reverse.bin jyut6ping3_scolar.prism.bin,
public-demo-dist,jyutping-scolar,jyut6ping3_mobile,true,6538,149,114,936509440,936509440,936509440,23785977,23785977,30742457,5335068,27322242,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin jyut6ping3_scolar.schema.yaml jyut6ping3_scolar.dict.yaml jyut6ping3_scolar.table.bin jyut6ping3_scolar.reverse.bin jyut6ping3_scolar.prism.bin,
tracked-dist,reverse-lookup,jyut6ping3_mobile,true,8102,108,122,936509440,936509440,936509440,7203884,7203884,14149458,5080804,23928,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin loengfan.schema.yaml loengfan.dict.yaml cangjie3.schema.yaml cangjie3.dict.yaml cangjie5.schema.yaml cangjie5.dict.yaml luna_pinyin_yune_reverse.dict.yaml,
public-demo-dist,reverse-lookup,jyut6ping3_mobile,true,5784,77,111,936509440,936509440,936509440,7203884,7203884,14160364,5102224,10741888,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin loengfan.schema.yaml loengfan.dict.yaml cangjie3.schema.yaml cangjie3.dict.yaml cangjie5.schema.yaml cangjie5.dict.yaml luna_pinyin_yune_reverse.dict.yaml,
tracked-dist,opencc,jyut6ping3_mobile,true,5726,103,106,936509440,936509440,936509440,4700673,4700673,11646247,5076160,23912,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin opencc/t2hkf.json opencc/HKVariantsFull.txt opencc/t2s.json opencc/t2tw.json opencc/hk2s.json opencc/HKVariantsRev.ocd2 opencc/HKVariantsRevPhrases.ocd2 opencc/TSCharacters.ocd2 opencc/TSPhrases.ocd2,
public-demo-dist,opencc,jyut6ping3_mobile,true,5660,78,107,936509440,936509440,936509440,4700673,4700673,11657153,5106920,8240240,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin opencc/t2hkf.json opencc/HKVariantsFull.txt opencc/t2s.json opencc/t2tw.json opencc/hk2s.json opencc/HKVariantsRev.ocd2 opencc/HKVariantsRevPhrases.ocd2 opencc/TSCharacters.ocd2 opencc/TSPhrases.ocd2,
tracked-dist,extras,jyut6ping3_mobile,true,5708,90,108,936509440,936509440,936509440,0,0,6947341,5113596,23912,,
public-demo-dist,extras,jyut6ping3_mobile,true,5541,73,109,936509440,936509440,936509440,0,0,6958247,5018656,3522416,,
tracked-dist,full-jyutping,jyut6ping3_mobile,true,5898,99,108,936509440,936509440,936509440,26429822,26429822,33375396,5332968,23926,default.custom.yaml common.yaml common.custom.yaml include.yaml template.yaml jyut6ping3.schema.yaml jyut6ping3_mobile.schema.yaml jyut6ping3_scolar.schema.yaml jyut6ping3_scolar.dict.yaml loengfan.schema.yaml loengfan.dict.yaml cangjie3.schema.yaml cangjie3.dict.yaml cangjie5.schema.yaml cangjie5.dict.yaml luna_pinyin_yune_reverse.dict.yaml opencc/t2hkf.json opencc/HKVariantsFull.txt opencc/t2s.json opencc/t2tw.json opencc/hk2s.json opencc/HKVariantsRev.ocd2 opencc/HKVariantsRevPhrases.ocd2 opencc/TSCharacters.ocd2 opencc/TSPhrases.ocd2 jyut6ping3.table.bin jyut6ping3.reverse.bin jyut6ping3_mobile.prism.bin jyut6ping3_scolar.table.bin jyut6ping3_scolar.reverse.bin jyut6ping3_scolar.prism.bin,
