"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","297.078","320.911","335.403","335.403","15921152","16551936","4964352","6537216"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1254.480","1368.650","1398.910","1398.910","16719872","17989632","6180864","7540736"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.367","11.667","14.933","14.933","12443648","14307328","4931584","6356992"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.400","22.600","29.200","29.200","12251136","14155776","4325376","6356992"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.050","14.750","15.400","15.400","12312576","14295040","4419584","6356992"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","690.234","729.395","739.127","739.127","17678336","17989632","6336512","7065600"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","168.188","183.412","190.925","190.925","13553664","14348288","4743168","6426624"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","880.860","941.990","1016.010","1016.010","16785408","17989632","6373376","7540736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","30581.200","38086.700","96832.000","96832.000","11091968","14155776","3457024","6356992"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","29050.600","57245.000","57245.000","57245.000","11530240","14004224","3809280","6160384"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","284.954","304.727","310.703","310.703","95322112","128364544","78483456","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","548.000","556.010","559.210","559.210","97726464","128364544","81047552","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","25.000","26.200","31.267","31.267","93446144","128364544","76791808","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","72.100","82.000","89.100","89.100","91762688","128364544","75096064","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","51.950","57.050","78.950","78.950","92430336","128364544","75726848","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","483.286","508.802","517.219","517.219","96296960","128364544","79372288","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","61.075","63.263","67.675","67.675","94564352","128364544","77799424","112353280"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","552.990","566.350","602.880","602.880","99090432","128364544","82403328","112353280"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23798.100","25342.700","25382.400","25382.400","88080384","128364544","71688192","112353280"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22901.600","2900870.500","2900870.500","2900870.500","90374144","128364544","73891840","112353280"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","30847.772","31946.707","32460.213","32460.213","836722688","1049112576","869076992","1354813440"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","250952.900","261201.300","268150.300","268150.300","820965376","1049112576","853606400","1354813440"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","205608.800","5895877.800","5895877.800","5895877.800","833568768","1049112576","866447360","1354813440"
