"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","50451.500","50451.500","7585792","11087872","10448896","12189696"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","24656.300","24656.300","10452992","11436032","10510336","13869056"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","22578.900","22578.900","10510336","11423744","10506240","13885440"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","24947.100","24947.100","10506240","11456512","10534912","13905920"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","21797.900","21797.900","10534912","11501568","10629120","13905920"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","21304.700","21304.700","10629120","11522048","10719232","13971456"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","21402.900","21402.900","10719232","11538432","10715136","13979648"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","22727.400","22727.400","10715136","11538432","10719232","13983744"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","22329.600","22329.600","10719232","11542528","10698752","14000128"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","25434.300","25434.300","10702848","10878976","unavailable","14000128"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26500.400","26500.400","10878976","10899456","unavailable","14012416"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","24338.900","24338.900","10899456","10878976","unavailable","14020608"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","22283.000","22283.000","10878976","10899456","unavailable","14020608"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","24919.900","24919.900","10899456","10801152","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","26612.700","26612.700","10801152","10813440","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","22279.200","22279.200","10813440","10903552","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","22829.800","22829.800","10903552","10870784","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","24332.600","24332.600","10878976","10874880","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","27077.900","27077.900","10874880","10878976","unavailable","14028800"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","29404.900","29404.900","10878976","10919936","unavailable","14032896"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","23479.900","23479.900","10919936","10862592","unavailable","14049280"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","27356.200","27356.200","10862592","10952704","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","22977.800","22977.800","10952704","10928128","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","47971.400","47971.400","10928128","10969088","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","25970.500","25970.500","10969088","10969088","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","67853.500","67853.500","10969088","11112448","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","50897.200","50897.200","11112448","10981376","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","27590.700","27590.700","10981376","11112448","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","24758.800","24758.800","11112448","11132928","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","25792.400","25792.400","11132928","10993664","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","21","1","23889.900","23889.900","10993664","10981376","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","23979.200","23979.200","10981376","10973184","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","31502.300","31502.300","10973184","10969088","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","24620.700","24620.700","10973184","10985472","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","30781.100","30781.100","10985472","11128832","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","32014.200","32014.200","11132928","11067392","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","25157.100","25157.100","11067392","11141120","unavailable","14061568"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","28462.200","28462.200","11141120","11091968","unavailable","14061568"
