engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,46056.700,46056.700,7618560,11137024,10481664,12218368
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,27314.000,27314.000,10485760,11468800,10596352,13905920
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,30952.700,30952.700,10596352,11481088,10579968,13905920
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,27815.400,27815.400,10579968,11538432,10735616,13926400
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,28349.400,28349.400,10735616,11575296,10739712,14036992
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,26656.000,26656.000,10739712,11563008,10752000,14036992
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,25106.700,25106.700,10752000,11567104,10686464,14036992
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,24428.500,24428.500,10686464,11567104,10760192,14069760
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,26242.100,26242.100,10760192,11575296,10768384,14069760
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,24204.000,24204.000,10772480,10952704,unavailable,14069760
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,30314.600,30314.600,10952704,10952704,unavailable,14069760
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,27271.500,27271.500,10952704,10924032,unavailable,14069760
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,34645.300,34645.300,10924032,11051008,unavailable,14069760
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,26786.800,26786.800,11051008,11038720,unavailable,14082048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22549.500,22549.500,11038720,10956800,unavailable,14082048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,28515.600,28515.600,10956800,11046912,unavailable,14082048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,28706.400,28706.400,11046912,11042816,unavailable,14082048
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,25660.700,25660.700,11051008,11046912,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,28109.500,28109.500,11046912,11042816,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,24516.200,24516.200,11042816,11051008,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,26938.500,26938.500,11051008,11059200,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,26468.000,26468.000,11059200,11063296,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23299.700,23299.700,11063296,11055104,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,25868.900,25868.900,11055104,11055104,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,28609.400,28609.400,11055104,11186176,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,24001.900,24001.900,11186176,11132928,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23229.700,23229.700,11132928,11137024,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,29882.700,29882.700,11137024,11132928,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,31638.100,31638.100,11132928,11149312,unavailable,14098432
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,30.900,15.450,12087296,12087296,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,30.000,15.000,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,29.700,14.850,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,30.700,15.350,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,29.800,14.900,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,29.100,14.550,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,29.500,14.750,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,29.200,14.600,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,28.900,14.450,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,29.200,14.600,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,29.300,14.650,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,29.000,14.500,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,29.000,14.500,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,28.900,14.450,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,28.800,14.400,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,29.000,14.500,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,29.000,14.500,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,28.800,14.400,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,29.100,14.550,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,28.900,14.450,12091392,12091392,unavailable,14102528
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,36.100,12.033,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,35.200,11.733,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,36.100,12.033,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,38.800,12.933,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,35.700,11.900,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,5,3,35.600,11.867,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,6,3,35.300,11.767,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,7,3,35.800,11.933,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,8,3,35.000,11.667,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,9,3,35.100,11.700,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,10,3,35.100,11.700,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,11,3,35.600,11.867,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,12,3,35.400,11.800,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,13,3,35.300,11.767,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,14,3,35.200,11.733,12111872,12111872,unavailable,14172160
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,15,3,35.500,11.833,12111872,12111872,unavailable,14172160
